Names,none,one,two,three,four,five
Paul Blomgren,9,19,33,33,50,47
Sacha Banerjee,9,16,20,30,54,36
Erik Carlsen,9,15,15,21,18,20
Julia Collins,6,13,20,24,27,27
Anika Dhawan,50,60,73,82,90,88
Layak Ganaka,1,1,2,2,2,1
Salvatire Garnier,26,33,38,49,59,45
Amie Hardy,6,8,7,14,12,20
Elin Ibsen,3,5,10,23,35,34
Dylan Jackson,15,27,20,31,33,40
Kirk Jensen,10,13,17,25,38,34
Raunak Krishna,8,18,30,41,36,33
Albert Nagel,6,14,19,28,28,25
Rida Page,4,6,4,17,22,9
Daniele Perrin,22,27,48,59,63,65
Chryselle Sato,3,3,10,5,9,9
Emma Sato,31,45,58,74,74,71
Erik Shibata,12,21,24,34,43,38
Kelda Solberg,4,7,13,15,13,26
Leon Solberg,3,8,13,13,16,14
Galen Sorensen,3,0,6,5,12,6
Kristjana Wilson,5,16,14,21,26,28
Tyr Wolff,3,9,12,10,16,16
Kyle Yamada,7,5,16,20,19,27
