Name,none,one,two,three,four,five
Paul Blomgren,90,81,84,75,71,74
Sacha Banerjee,98,89,86,81,79,81
Erik Carlsen,112,104,99,101,95,99
Julia Collins,92,93,82,85,86,84
Anika Dhawan,84,77,70,69,66,67
Layak Ganaka,136,130,127,124,121,125
Salvatire Garnier,81,72,71,69,68,74
Amie Hardy,114,102,98,99,94,92
Elin Ibsen,99,95,87,85,83,85
Dylan Jackson,89,79,79,79,77,77
Kirk Jensen,102,93,92,92,89,91
Raunak Krishna,90,82,80,78,75,80
Albert Nagel,98,92,89,85,87,84
Rida Page,114,104,103,97,96,97
Daniele Perrin,81,74,64,68,63,63
Chryselle Sato,119,111,107,103,98,100
Emma Sato,93,89,80,80,76,77
Erik Shibata,111,100,100,100,95,99
Kelda Solberg,109,100,95,98,93,91
Leon Solberg,103,97,93,91,93,91
Galen Sorensen,121,115,107,106,105,105
Kristjana Wilson,97,93,89,90,89,87
Tyr Wolff,128,121,117,117,119,117
Kyle Yamada,100,92,92,87,86,88
